trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-GD-M30-000001,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-01-17 17:00:00+03:00,2020-01-17 18:00:00+03:00,2020-01-17 18:00:00+03:00,1920.1021975,1915.53691326,4.56528423866,45.6528423866,2020-01-21 11:00:00+03:00,1925.40698484,ATR_TRAILING_STOP,42,1.16198402202,0.0438088823268,1.11817513969,0.968042684013,2.31254641181,2020-01-17 16:30:00+03:00,2,219.044411634
T2-GD-M30-000002,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-01-27 18:00:00+03:00,2020-01-27 19:30:00+03:00,2020-01-27 19:30:00+03:00,1950.66964506,1944.22936368,6.44028137513,64.4028137513,2020-01-27 21:30:00+03:00,1944.22936368,INITIAL_STOP,4,-1,0.0310545437925,-1.03105454379,0.85776337831,0.0953070420344,2020-01-27 17:30:00+03:00,3,157.008939905
T2-GD-M30-000003,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2020-02-05 15:00:00+03:00,2020-02-05 16:30:00+03:00,2020-02-05 16:30:00+03:00,1911.38617832,1916.126792,4.74061367783,47.4061367783,2020-02-05 17:30:00+03:00,1916.126792,INITIAL_STOP,2,-1,0.0421886307537,-1.04218863075,0.595597819914,0.0258955573876,2020-02-05 14:30:00+03:00,3,211.102609074
T2-GD-M30-000004,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-13 17:00:00+03:00,2020-02-13 18:30:00+03:00,2020-02-13 18:30:00+03:00,1939.98945254,1933.79677365,6.1926788838,61.926788838,2020-02-17 11:30:00+03:00,1943.65732723,ATR_TRAILING_STOP,42,0.592292085877,0.0322962006835,0.559995885194,0.594706277445,1.52641277878,2020-02-13 16:30:00+03:00,3,159.918860675
T2-GD-M30-000005,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-19 17:30:00+03:00,2020-02-19 18:30:00+03:00,2020-02-19 18:30:00+03:00,1977.1859851,1970.95501658,6.23096851893,62.3096851893,2020-02-25 10:30:00+03:00,2015.58250012,ATR_TRAILING_STOP,68,6.16220654931,0.0320977388013,6.13010881051,0.72896385649,8.2550231316,2020-02-19 16:30:00+03:00,2,159.826186619
T2-GD-M30-000006,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-25 11:00:00+03:00,2020-02-25 11:30:00+03:00,2020-02-25 11:30:00+03:00,2025.79927519,2015.67624355,10.1230316326,101.230316326,2020-02-25 15:00:00+03:00,2020.6867935,ATR_TRAILING_STOP,7,-0.505034645026,0.0197569272979,-0.524791572324,0.278918339293,1.21268843171,2020-02-22 00:00:00+03:00,1,104.407455104
T2-GD-M30-000007,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-25 15:30:00+03:00,2020-02-25 16:30:00+03:00,2020-02-25 16:30:00+03:00,2031.93731686,2021.87477377,10.0625430938,100.625430938,2020-02-25 20:00:00+03:00,2021.87477377,INITIAL_STOP,7,-1,0.0198756912776,-1.01987569128,0.597789324995,0.695387582137,2020-02-25 14:30:00+03:00,2,104.483859991
T2-GD-M30-000008,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-03-06 22:00:00+03:00,2020-03-06 22:30:00+03:00,2020-03-06 22:30:00+03:00,2062.87304692,2050.73594408,12.1371028338,121.371028338,2020-03-06 23:30:00+03:00,2050.73594408,INITIAL_STOP,2,-1,0.0164783970886,-1.01647839709,0.121374105726,0.819275213652,2020-03-06 18:00:00+03:00,1,85.7412725965
T2-GD-M30-000009,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2020-03-12 20:30:00+03:00,2020-03-12 21:30:00+03:00,2020-03-12 21:30:00+03:00,1942.07638671,1979.32920403,37.2528173199,372.528173199,2020-03-13 16:00:00+03:00,1957.73420067,ATR_TRAILING_STOP,17,-0.420312209649,0.00536872146562,-0.425680931115,0.434985356651,0.514073603315,2020-03-12 20:00:00+03:00,2,27.6508658336
T2-GD-M30-000010,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2020-03-20 15:30:00+03:00,2020-03-20 16:00:00+03:00,2020-03-20 16:00:00+03:00,1802.61805671,1820.13853434,17.5204776274,175.204776274,2020-03-23 15:30:00+03:00,1809.32595996,ATR_TRAILING_STOP,27,-0.382860752465,0.0114152139144,-0.394275966379,0.478668400451,1.03255612097,2020-03-20 12:00:00+03:00,1,58.5422299884
