trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,net_R,year
T2-M15-CNY-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-01-06 18:45:00+03:00,2023-01-06 19:00:00+03:00,2023-01-06 19:00:00+03:00,10.46,10.4174368753,0.0425631247446,42.5631247446,2023-01-06 19:45:00+03:00,10.4174368753,INITIAL_STOP,3,-1,0.0469890312801,-1.04698903128,0.704835469201,0,2023-01-06 18:00:00+03:00,1,23494.51564,CNYRUBF,T2,M15,-1.04698903128,2023
T2-M15-Si-000001,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-06 20:15:00+03:00,2023-01-06 20:30:00+03:00,2023-01-06 20:30:00+03:00,72.09,71.885061372,0.204938627981,204.938627981,2023-01-06 20:45:00+03:00,72.05,EMA50_TREND_LOSS,1,-0.195180383484,0.00975901917419,-0.204939402658,0,0,2023-01-06 18:00:00+03:00,1,4879.5095871,USDRUBF,T2,M15,-0.204939402658,2023
T2-M15-Si-000002,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-01-10 12:15:00+03:00,2023-01-10 13:00:00+03:00,2023-01-10 13:00:00+03:00,69.68,69.8660655936,0.186065593624,186.065593624,2023-01-10 17:15:00+03:00,69.8362556031,ATR_TRAILING_STOP,17,-0.839787732998,0.0107488975315,-0.850536630529,0.429955901259,0.859911802519,2023-01-10 12:00:00+03:00,3,5363.43440254,USDRUBF,T2,M15,-0.850536630529,2023
T2-M15-Si-000003,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-01-13 13:00:00+03:00,2023-01-13 13:15:00+03:00,2023-01-13 13:15:00+03:00,67.35,67.5634729722,0.213472972207,213.472972207,2023-01-13 14:15:00+03:00,67.5634729722,INITIAL_STOP,4,-1,0.00936886754011,-1.00936886754,0.84319807861,0.234221688503,2023-01-13 12:45:00+03:00,1,4635.07234797,USDRUBF,T2,M15,-1.00936886754,2023
T2-M15-Si-000004,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-01-16 12:00:00+03:00,2023-01-16 12:15:00+03:00,2023-01-16 12:15:00+03:00,68.35,68.6212829448,0.27128294475,271.28294475,2023-01-16 14:45:00+03:00,68.54,EMA50_TREND_LOSS,10,-0.700375765144,0.0073723764752,-0.707748141619,0.995270824152,0.294895059008,2023-01-16 11:30:00+03:00,1,3610.53048604,USDRUBF,T2,M15,-0.707748141619,2023
T2-M15-CNY-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-01-25 12:30:00+03:00,2023-01-25 13:00:00+03:00,2023-01-25 13:00:00+03:00,10.17,10.1487527689,0.0212472311045,21.2472311045,2023-01-25 14:45:00+03:00,10.1562335998,ATR_TRAILING_STOP,7,-0.647915020757,0.0941299122771,-0.742044933034,0.470649561385,1.41194868416,2023-01-25 12:15:00+03:00,2,46572.1912102,CNYRUBF,T2,M15,-0.742044933034,2023
T2-M15-Si-000005,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-25 14:45:00+03:00,2023-01-25 15:00:00+03:00,2023-01-25 15:00:00+03:00,69.12,69.0332893644,0.086710635579,86.710635579,2023-01-25 15:15:00+03:00,69.0332893644,INITIAL_STOP,1,-1,0.0230652213151,-1.02306522132,0,0,2023-01-25 14:15:00+03:00,1,11215.9611948,USDRUBF,T2,M15,-1.02306522132,2023
T2-M15-Si-000006,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-25 15:30:00+03:00,2023-01-25 16:15:00+03:00,2023-01-25 16:15:00+03:00,69.14,69.0330436797,0.106956320313,106.956320313,2023-01-26 09:30:00+03:00,69.4,ATR_TRAILING_STOP,33,2.43089888694,0.0186992222072,2.41219966473,0.0934961110362,4.30082110766,2023-01-25 15:00:00+03:00,3,8999.8736919,USDRUBF,T2,M15,2.41219966473,2023
T2-M15-Si-000007,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-30 12:00:00+03:00,2023-01-30 12:15:00+03:00,2023-01-30 12:15:00+03:00,69.53,69.4640814397,0.0659185602517,65.9185602517,2023-01-30 22:30:00+03:00,70.62,ATR_TRAILING_STOP,41,16.5355553252,0.0303404684866,16.5052148567,0,20.7832209133,2023-01-30 10:30:00+03:00,1,14955.0148506,USDRUBF,T2,M15,16.5052148567,2023
T2-M15-CNY-000003,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-01-31 12:45:00+03:00,2023-01-31 13:30:00+03:00,2023-01-31 13:30:00+03:00,10.46,10.4279890114,0.0320109885789,32.0109885789,2023-01-31 16:15:00+03:00,10.4279890114,INITIAL_STOP,11,-1,0.0624785452993,-1.0624785453,0.937178179489,0.312392726496,2023-01-31 12:30:00+03:00,3,30682.8184711,CNYRUBF,T2,M15,-1.0624785453,2023
T2-M15-Si-000008,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-31 12:30:00+03:00,2023-01-31 13:00:00+03:00,2023-01-31 13:00:00+03:00,70.74,70.4989000255,0.241099974547,241.099974547,2023-01-31 16:15:00+03:00,70.5348429497,ATR_TRAILING_STOP,13,-0.850921078093,0.00829531402382,-0.859216392116,0.539195411548,0.290335990834,2023-01-31 10:15:00+03:00,2,4763.68200049,USDRUBF,T2,M15,-0.859216392116,2023
T2-M15-Si-000009,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-01 12:15:00+03:00,2023-02-01 12:30:00+03:00,2023-02-01 12:30:00+03:00,70.3,70.0972033434,0.202796656559,202.796656559,2023-02-01 12:45:00+03:00,70.17,EMA50_TREND_LOSS,1,-0.641036209403,0.00986209552928,-0.650898304932,0,0,2023-02-01 11:15:00+03:00,1,5614.7637011,USDRUBF,T2,M15,-0.650898304932,2023
T2-M15-Si-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-03 18:15:00+03:00,2023-02-03 18:30:00+03:00,2023-02-03 18:30:00+03:00,70.69,70.5308691449,0.15913085506,159.13085506,2023-02-03 19:45:00+03:00,70.5308691449,INITIAL_STOP,5,-1,0.012568272817,-1.01256827282,0.754096369021,0.314206820425,2023-02-03 18:00:00+03:00,1,7108.89046275,USDRUBF,T2,M15,-1.01256827282,2023
T2-M15-Si-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-07 11:15:00+03:00,2023-02-07 11:30:00+03:00,2023-02-07 11:30:00+03:00,71.12,71.0429517859,0.0770482141064,77.0482141064,2023-02-07 11:45:00+03:00,71.0429517859,INITIAL_STOP,1,-1,0.0259577723273,-1.02595777233,0,0,2023-02-07 00:00:00+03:00,1,14533.6165785,USDRUBF,T2,M15,-1.02595777233,2023
