strategy_id,instrument,exit_configuration,friction_scenario,trades,wins,losses,win_rate,gross_pnl_price,net_pnl_price,average_trade_price,median_trade_price,average_win_price,average_loss_price,payoff_ratio_price,profit_factor_ATR,expectancy_ATR,max_drawdown_ATR,net_result_ATR,profit_factor_R,expectancy_R,max_drawdown_R,net_result_R,recovery_factor_ATR,sharpe_ATR,sortino_ATR,max_consecutive_losses,average_holding_bars,median_holding_bars,sample_flag
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,40483,18250,22226,0.4508065113751451,-8.78873620264557,-8.78873620264557,-0.00021709695928279945,-0.0007928003922934,0.0020871047258843325,-0.0021091693264660596,0.9895387248881071,0.7787952357920868,-0.06402202633605333,2594.302243836289,-2591.803692162447,0.7787952357920868,-0.12804405267210667,5188.604487672579,-5183.607384324894,-0.9990369080241988,-24.70514782123394,-92.33746445818493,18,1.545735246893758,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,40483,8152,32331,0.2013684756564484,-8.78873620264557,-89.7547362025997,-0.0022170969592816663,-0.0027928003922923,0.0011092983882005473,-0.003055820626123862,0.3630116174742987,0.038782835132446916,-0.7417654675778237,30029.15239956278,-30028.891423953035,0.03878283513244692,-1.4835309351556474,60058.30479912556,-60057.78284790607,-0.9999913092582078,-214.5863556537956,-251.06644941359542,367,1.545735246893758,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,40483,1234,39249,0.030481930686955018,-8.78873620264557,-170.72073620269796,-0.004217096959284094,-0.0047928003922947,0.001200043885142034,-0.0043874134463798625,0.2735196716261634,0.002049557347822648,-1.4195089088207982,57466.00110701211,-57465.979155792375,0.0020495573478226483,-2.8390178176415963,114932.00221402422,-114931.95831158475,-0.999999618013794,-276.01636658425696,-281.45128319332065,3443,1.545735246893758,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,35138,13492,21639,0.38397176845580283,-3.4836500326536437,-3.4836500326536437,-9.914195550838532e-05,-0.0010000000000012,0.00312926996982635,-0.0021121013200956955,1.4815908403885512,0.8837423303068324,-0.03788173385973597,1348.9667298478817,-1331.0883643634024,0.8837423303068324,-0.07576346771947196,2697.9334596957633,-2662.1767287268053,-0.9867466223674062,-11.228642078342318,-48.90440689371972,22,1.8306961124708292,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,BASE,35138,9417,25721,0.26800045534748707,-3.4836500326536437,-73.7596500326143,-0.002099141955507266,-0.0030000000000001,0.0018975808284696523,-0.003562426371226353,0.532665276620557,0.10315297527706284,-0.7175969126071295,25215.431290798962,-25214.920315189316,0.10315297527706285,-1.435193825214259,50430.862581597925,-50429.84063037863,-0.9999797355990563,-171.50942029679223,-243.04152339630593,204,1.8306961124708292,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,STRESS,35138,3344,31794,0.09516762479367066,-3.4836500326536437,-144.0356500326996,-0.004099141955509694,-0.0050000000000025,0.0016229672529122774,-0.004700976678821107,0.34524043912493496,0.012023575890539383,-1.3973120913557302,49099.02421727734,-49098.75226605765,0.012023575890539385,-2.7946241827114604,98198.0484345547,-98197.5045321153,-0.9999944611685461,-237.6312591030149,-255.33087210778152,621,1.8306961124708292,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,30849,10176,20666,0.3298648254400467,-1.4751663191727253,-1.4751663191727253,-4.781893478468428e-05,-0.0012750558575476,0.004165785886251029,-0.002122626705587109,1.9625617049319048,0.929028047517591,-0.02519414905157953,802.4498395116076,-777.2143040921769,0.929028047517591,-0.05038829810315908,1604.8996790232159,-1554.4286081843543,-0.9685518842713089,-6.070322471937055,-30.448741394997363,20,2.144672436707835,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,BASE,30849,8277,22572,0.26830691432461345,-1.4751663191727253,-63.17316631913835,-0.0020478189347835703,-0.0032750558575465,0.00278249261109452,-0.0038190615657082974,0.7285801925998721,0.16050162140009192,-0.7008425560978854,21621.608594367455,-21620.292013063667,0.16050162140009192,-1.4016851121957707,43243.21718873491,-43240.58402612733,-0.9999391080780118,-142.72509083446732,-232.57738074485974,128,2.144672436707835,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,STRESS,30849,4556,26293,0.14768712113844856,-1.4751663191727253,-124.87116631921337,-0.004047818934786002,-0.0052750558575489,0.0022081001030994497,-0.005131832441674,0.4302751752313973,0.0308103800723902,-1.3764909631453912,42464.002884679554,-42463.36972207217,0.030810380072390203,-2.7529819262907824,84928.00576935911,-84926.73944414435,-0.9999850894271767,-209.6758385634355,-243.55842120800975,298,2.144672436707835,1.0,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,21441,10340,11091,0.48225362623011986,-3.1166080768385322,-3.1166080768385322,-0.00014535740295874876,-0.0012536732103995,0.004207091529534809,-0.0042032219360047295,1.0009206255555845,0.9065405182585511,-0.049697247706265185,1080.558688070039,-1065.5586880700318,0.9065405182585511,-0.049697247706265185,1080.558688070039,-1065.5586880700318,-0.9861182921708785,-7.150681458061092,-53.729771128710446,16,3.325404598666107,2.0,BETTER_SAMPLE
